_id,index,title,author,resource,time,database
6512b34436503f54303839df,1,基于Python的沉淀滴定学习软件设计与教学应用,王顺;李伟;赵士举;刘小花;吴璐璐;谢黎霞;宋美荣;李辉,化学教育(中英文),2023-09-18,期刊
6512b3779ff18c0e2174f5ab,1,基于Python的沉淀滴定学习软件设计与教学应用,王顺;李伟;赵士举;刘小花;吴璐璐;谢黎霞;宋美荣;李辉,化学教育(中英文),2023-09-18,期刊
6512b3779ff18c0e2174f5ac,2,基于Python的CAN网络数据库管理分析,蓝启亮; 吴光耀; 王帅; 陈聪,汽车实用技术,2023-09-15,期刊
6512b3779ff18c0e2174f5ad,3,基于Python的CO2/O2氛围下柴油燃烧火焰特征分析        \n        \n网络首发,陈睿哲;刘永峰;王龙;张璐;何旭;宋金瓯,四川大学学报(自然科学版),2023-09-11 09:23,期刊
6512b3779ff18c0e2174f5ae,4,银行网点财务检查环节中的Python应用,董刚,金融科技时代,2023-09-10,期刊
6512b3779ff18c0e2174f5af,5,基于Python的风电齿轮箱远程状态监测系统开发与实现,周裕康;胡王平;杨水余;周焕辉;孙荣坤;张志新,工程机械,2023-09-10,期刊
6512b3779ff18c0e2174f5b0,6,基于“树莓派+5G+Python”的户外实训基地监控系统设计,杨骏; 梁念渝; 邓力夫,现代信息科技,2023-09-10,期刊
6512b3779ff18c0e2174f5b1,7,人工智能背景下“Python程序设计”课程改革,李莉; 李冬; 杨海迎; 张永萍,现代信息科技,2023-09-10,期刊
6512b3779ff18c0e2174f5b2,8,基于Python的物理引擎研究圆柱骰子的下落概率,刘鹏飞; 刘鹏宇; 姜永健; 江瑞雪,大学物理实验,2023-08-26,期刊
6512b3779ff18c0e2174f5b3,9,基于Python和Requests快速获取网页数据的方法研究,姜庆玲; 张樊,现代信息科技,2023-08-25,期刊
6512b3779ff18c0e2174f5b4,10,基于Python的随机信号分析课程随机数产生实验设计,钟何平; 田振,中国现代教育装备,2023-08-20,期刊
6512b3779ff18c0e2174f5b5,11,基于“岗课赛证”融通理念的Python程序设计课程“工单式”教学研究,朱金坛,创新创业理论研究与实践,2023-08-10,期刊
6512b3779ff18c0e2174f5b6,12,基于人工智能技术的Python编程教学实践,张爱华,集成电路应用,2023-08-10,期刊
6512b3779ff18c0e2174f5b7,13,对海康GigE相机以Python程序连接方法的研究,张雍斌; 李鑫; 顾彬,电子产品世界,2023-08-04,期刊
6512b3779ff18c0e2174f5b8,14,对欧姆龙PLC使用Python程序连接使用方法的研究,牛凯; 李冰融; 李鑫,电子产品世界,2023-08-04,期刊
6512b3779ff18c0e2174f5b9,15,Python数据采集软件的设计与应用,余战秋,电子技术,2023-07-20,期刊
6512b3779ff18c0e2174f5ba,16,基于ArcGIS Python的灌区一张图绘制自动化工作流,许克平,湖南水利水电,2023-07-20,期刊
6512b3779ff18c0e2174f5bb,17,基于Python技术的半监督文本语义分类方法研究,孙川钘; 朱镕申; 张凌云,计算机仿真,2023-07-15,期刊
6512b3779ff18c0e2174f5bc,18,基于Python爬虫的二手房信息数据可视化分析,马腾; 余粟,软件,2023-07-15,期刊
6512b3779ff18c0e2174f5bd,19,Python语言在审计流程优化中的应用研究,崔轩齐,软件,2023-07-15,期刊
6512b3779ff18c0e2174f5be,20,基于Python的面向对象弹塑性有限元方法实现与数值模拟        \n        \n网络首发,李恒辉; 肖映雄,系统仿真学报,2023-07-12 13:01,期刊
6512b3779ff18c0e2174f5bf,21,浅析Python在油气勘探开发中的应用与发展,顾晓东;梁琰;李静叶;张希晨;刘晓波;杜长江,天然气与石油,2023-07-10 16:03,期刊
6512b3779ff18c0e2174f5c0,22,基于Django框架的Python课程在线教育平台设计,王冬冬,信息与电脑(理论版),2023-06-25,期刊
6512b3779ff18c0e2174f5c1,23,基于区块链的成人教育Python语言程序设计课程线上教学平台设计,王影,信息与电脑(理论版),2023-06-25,期刊
6512b3779ff18c0e2174f5c2,24,基于微信小程序的成人教育Python语言程序设计课程考试平台设计,张洋,信息与电脑(理论版),2023-06-25,期刊
6512b3779ff18c0e2174f5c3,25,基于Python的城市生活垃圾收运物流系统仿真与优化,张矢宇; 王自由; 褚宇航,兰州大学学报(自然科学版),2023-06-15,期刊
6512b3779ff18c0e2174f5c4,26,基于Python语言数据服务平台设计与实现,陈小敏; 苏健光; 欧文辉,信息与电脑(理论版),2023-06-10,期刊
6512b3779ff18c0e2174f5c5,27,基于Python的居民用电特征搜索引擎设计,朱宇飞; 王莉; 周嘉磊,信息与电脑(理论版),2023-05-25,期刊
6512b3779ff18c0e2174f5c6,28,基于Python的中医药数据挖掘中标准数据集的加工-以高血压治疗数据为例,田颖;郭栋;彭伟;范晓艳;张晨岳;朱俊潼,中国循证心血管医学杂志,2023-05-20,期刊
6512b3779ff18c0e2174f5c7,29,基于Python语言的中介与调节效应运演,钟志强; 高红,电脑与电信,2023-05-10,期刊
6512b3779ff18c0e2174f5c8,30,基于Python的PN结物理特性实验数据处理方法        \n        \n网络首发,李奇;马晓波;曹志杰;马玲;杜全忠;撒强,宁夏大学学报(自然科学版),2023-05-06 10:13,期刊
6512b3779ff18c0e2174f5c9,31,基于Python的聚焦网络爬虫的设计与实现,唐文军; 隆承志,计算机与数字工程,2023-04-20,期刊
6512b3779ff18c0e2174f5ca,32,基于Python的贵州省退耕还林数据质检方法,梁建方; 曹霸,陕西林业科技,2023-04-15,期刊
6512b3779ff18c0e2174f5cb,33,基于PBL的软件工程专业Python程序设计课程案例式实验教学,朱文强; 熊碧舟,中国教育技术装备,2023-01-25,期刊
6512b3779ff18c0e2174f5cc,34,基于Python语言图形用户界面设计的研究,周春吟,科学技术创新,2022-11-30,期刊
6512b3779ff18c0e2174f5cd,35,基于Python增量国情监测地表覆盖更新与工具实现,李美珍; 魏智东; 黄瑞贞,测绘与空间地理信息,2022-11-25,期刊
